,n=100_p=50_ρ=0_sparse,n=100_p=50_ρ=0_dense,n=100_p=50_ρ=0.25_sparse,n=100_p=50_ρ=0.25_dense,n=100_p=50_ρ=0.5_sparse,n=100_p=50_ρ=0.5_dense,n=100_p=25_ρ=0_sparse,n=100_p=25_ρ=0_dense,n=100_p=25_ρ=0.25_sparse,n=100_p=25_ρ=0.25_dense,n=100_p=25_ρ=0.5_sparse,n=100_p=25_ρ=0.5_dense,n=100_p=10_ρ=0_sparse,n=100_p=10_ρ=0_dense,n=100_p=10_ρ=0.25_sparse,n=100_p=10_ρ=0.25_dense,n=100_p=10_ρ=0.5_sparse,n=100_p=10_ρ=0.5_dense
ridge_aic,0.07209954410791397,15.537561416625977,0.06294110417366028,16.855609893798828,0.06146719306707382,14.281296730041504,0.14505013823509216,17.71910285949707,0.1759832501411438,14.651214599609375,0.15717804431915283,21.419931411743164,0.2811726927757263,17.8453369140625,0.26123979687690735,15.794200897216797,0.21173623204231262,17.530773162841797
ridge_adaptive_aic,0.07209954410791397,15.537561416625977,0.06294110417366028,16.855609893798828,0.06146719306707382,14.281296730041504,0.14505013823509216,17.71910285949707,0.1759832501411438,14.651214599609375,0.15717804431915283,21.419931411743164,0.2811726927757263,17.8453369140625,0.26123979687690735,15.794200897216797,0.21173623204231262,17.530773162841797
lasso_aic,0.16029036045074463,20.705595016479492,0.1464962661266327,21.90018653869629,0.14373725652694702,19.35569190979004,0.1679745614528656,21.74639320373535,0.20092499256134033,18.69391441345215,0.18036936223506927,25.658451080322266,0.28733113408088684,21.513050079345703,0.26966533064842224,19.500268936157227,0.2190026342868805,21.176250457763672
lasso_adaptive_aic,0.177296444773674,20.179044723510742,0.16877125203609467,21.562301635742188,0.16690298914909363,18.80455780029297,0.16833683848381042,21.460559844970703,0.2023518830537796,18.442567825317383,0.17914335429668427,25.27956199645996,0.2889861464500427,21.338071823120117,0.2685600817203522,19.431222915649414,0.21912892162799835,20.919160842895508
ridge_bic,0.07209954410791397,15.537561416625977,0.06294110417366028,16.855609893798828,0.06146719306707382,14.281296730041504,0.14505013823509216,17.71910285949707,0.1759832501411438,14.651214599609375,0.15717804431915283,21.419931411743164,0.2811726927757263,17.8453369140625,0.26123979687690735,15.794200897216797,0.21173623204231262,17.530773162841797
ridge_adaptive_bic,0.07209954410791397,15.537561416625977,0.06294110417366028,16.855609893798828,0.06146719306707382,14.281296730041504,0.14505013823509216,17.71910285949707,0.1759832501411438,14.651214599609375,0.15717804431915283,21.419931411743164,0.2811726927757263,17.8453369140625,0.26123979687690735,15.794200897216797,0.21173623204231262,17.530773162841797
lasso_bic,0.16029036045074463,20.705595016479492,0.1464962661266327,21.90018653869629,0.14373725652694702,19.35569190979004,0.1679745614528656,21.74639320373535,0.20092499256134033,18.69391441345215,0.18036936223506927,25.658451080322266,0.28733113408088684,21.513050079345703,0.26966533064842224,19.500268936157227,0.2190026342868805,21.176250457763672
lasso_adaptive_bic,0.177296444773674,20.179044723510742,0.16877125203609467,21.562301635742188,0.16690298914909363,18.80455780029297,0.16833683848381042,21.460559844970703,0.2023518830537796,18.442567825317383,0.17914335429668427,25.27956199645996,0.2889861464500427,21.338071823120117,0.2685600817203522,19.431222915649414,0.21912892162799835,20.919160842895508
ridge_loocv,0.07209954410791397,15.537561416625977,0.06294110417366028,16.855609893798828,0.06146719306707382,14.281296730041504,0.14505013823509216,17.71910285949707,0.1759832501411438,14.651214599609375,0.15717804431915283,21.419931411743164,0.2811726927757263,17.8453369140625,0.26123979687690735,15.794200897216797,0.21173623204231262,17.530773162841797
ridge_adaptive_loocv,0.07209954410791397,15.537561416625977,0.06294110417366028,16.855609893798828,0.06146719306707382,14.281296730041504,0.14505013823509216,17.71910285949707,0.1759832501411438,14.651214599609375,0.15717804431915283,21.419931411743164,0.2811726927757263,17.8453369140625,0.26123979687690735,15.794200897216797,0.21173623204231262,17.530773162841797
lasso_loocv,0.14632420241832733,20.40380096435547,0.13281530141830444,21.618694305419922,0.13155990839004517,19.044525146484375,0.16709938645362854,21.529516220092773,0.19891025125980377,18.413188934326172,0.1769109070301056,25.43821907043457,0.28757673501968384,21.26982307434082,0.2687101662158966,19.36972427368164,0.21885566413402557,20.964508056640625
lasso_adaptive_loocv,0.1693868190050125,20.179044723510742,0.1605379730463028,21.562301635742188,0.1597207486629486,18.80455780029297,0.16444386541843414,21.4381103515625,0.199880450963974,18.4279727935791,0.1753578931093216,25.25599479675293,0.2876671850681305,21.15995979309082,0.2670753002166748,19.18319320678711,0.21794331073760986,20.74192237854004
